,year,capacity,diameter,revenues,q,p,Md,M,Q0,s_j,s_jd,s_0,cpi98,p98,p98in000,capaMB,lncapaMB,lnsjs0,lnsjd,_3inch,diameter_capacity,FirstYearOfDiameterCapacity,NofYearsInMktOfDiameterCapacity,year_diameter,FrontierCapacityOfDiameter,NofFirmsInDiameterCapacity,NofProductsInDiameter,NofFirmsInDiameter,FirstYearOfDiameter,NofYearsInMktOfDiameter
0,1983,1.0,3.5,0.5,1.5,0.33333334,5.0,1144.9000005722046,20.199999809265137,0.001310158,0.3,0.017643463,0.6110429,0.5455154,0.00054551545,15.0,2.7080503,-2.6002176,-1.2039728,1.0,3.5_1,1983,1.0,1983_3.5,1,8.0,10.0,8.0,1983.0,1.0
1,1983,4.0,5.25,2.299999952316284,1.0,2.3,1139.9000005722046,1144.9000005722046,20.199999809265137,0.0008734387,0.00087726995,0.017643463,0.6110429,3.7640562,0.0037640561,150.0,5.0106354,-3.0056827,-7.038696,0.0,5.25_4,1983,1.0,1983_5.25,4,6.0,64.0,42.0,1979.0,5.0
2,1983,1.0,5.25,542.0,1081.0,0.5013876,1139.9000005722046,1144.9000005722046,20.199999809265137,0.9441873,0.9483288,0.017643463,0.6110429,0.820544,0.000820544,15.0,2.7080503,3.9799592,-0.05305401,0.0,5.25_1,1979,5.0,1983_5.25,4,34.0,64.0,42.0,1979.0,5.0
3,1983,2.0,5.25,45.20000076293945,41.20000076293945,1.0970874,1139.9000005722046,1144.9000005722046,20.199999809265137,0.035985675,0.036143523,0.017643463,0.6110429,1.7954342,0.0017954343,45.0,3.8066626,0.7127556,-3.3202574,0.0,5.25_2,1982,2.0,1983_5.25,4,23.0,64.0,42.0,1979.0,5.0
4,1984,2.0,3.5,0.800000011920929,1.0,0.8,101.4000015258789,2578.6999406814575,43.2999986410141,0.0003877923,0.009861933,0.016791407,0.63742334,1.2550529,0.001255053,45.0,3.8066626,-3.7681527,-4.619073,1.0,3.5_2,1984,1.0,1984_3.5,2,4.0,24.0,20.0,1983.0,2.0
5,1984,1.0,3.5,23.399999618530273,66.30000305175781,0.35294116,101.4000015258789,2578.6999406814575,43.2999986410141,0.025710631,0.65384614,0.016791407,0.63742334,0.5536998,0.0005536998,15.0,2.7080503,0.4260373,-0.42488322,1.0,3.5_1,1983,2.0,1984_3.5,2,20.0,24.0,20.0,1983.0,2.0
6,1984,4.0,5.25,22.0,10.0,2.2,2477.2999391555786,2578.6999406814575,43.2999986410141,0.0038779231,0.004036653,0.016791407,0.63742334,3.4513955,0.0034513955,150.0,5.0106354,-1.4655676,-5.5123396,0.0,5.25_4,1983,2.0,1984_5.25,4,9.0,70.0,41.0,1979.0,6.0
7,1984,1.0,5.25,891.8999999761581,2164.599951148033,0.4120392,2477.2999391555786,2578.6999406814575,43.2999986410141,0.8394152,0.8737739,0.016791407,0.63742334,0.64641374,0.00064641377,15.0,2.7080503,3.9118383,-0.13493367,0.0,5.25_1,1979,6.0,1984_5.25,4,33.0,70.0,41.0,1979.0,6.0
8,1984,2.0,5.25,301.09998774528503,293.49998784065247,1.0258944,2477.2999391555786,2578.6999406814575,43.2999986410141,0.113817036,0.11847576,0.016791407,0.63742334,1.6094396,0.0016094396,45.0,3.8066626,1.9137249,-2.1330469,0.0,5.25_2,1982,3.0,1984_5.25,4,26.0,70.0,41.0,1979.0,6.0
9,1985,1.0,3.5,113.80000305175781,333.6000061035156,0.3411271,405.6000061035156,3486.400065973401,76.69999957084656,0.09568609,0.8224852,0.02199977,0.6601227,0.51676315,0.00051676313,15.0,2.7080503,1.4700409,-0.19542478,1.0,3.5_1,1983,3.0,1985_3.5,2,23.0,33.0,26.0,1983.0,3.0
